date,hour,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,Coco
2021-01-01,0,1.6,-0.8,84,,,280,7.6,,1008.0,,
2021-01-01,1,1.4,-1.0,84,0.0,,280,5.4,,1008.2,,
2021-01-01,2,0.9,-1.2,86,0.0,,280,5.4,,1008.6,,
2021-01-01,3,0.8,-1.1,87,,,280,5.4,,1008.9,,
2021-01-01,4,0.6,-1.3,87,0.0,,310,3.6,,1009.0,,
2021-01-01,5,1.0,-0.9,87,0.0,,280,5.4,,1009.2,,
2021-01-01,6,1.7,-0.4,86,,,10,7.6,,1009.4,,
2021-01-01,7,1.7,-0.6,85,,,20,5.4,,1009.9,,
2021-01-01,8,1.4,-1.0,84,0.0,,360,9.4,,1010.3,,
2021-01-01,9,1.6,-1.1,82,,,10,7.6,,1010.9,,
2021-01-01,10,3.4,-0.3,77,0.0,,360,9.4,,1011.3,,
2021-01-01,11,3.9,-0.9,71,0.0,,10,9.4,,1011.4,,
2021-01-01,12,3.8,-2.2,65,,,10,11.2,,1011.1,,
2021-01-01,13,4.1,-2.1,64,0.0,,360,7.6,,1010.9,,
2021-01-01,14,3.9,-2.3,64,0.0,,340,9.4,,1011.0,,
2021-01-01,15,3.6,-2.0,67,0.0,,30,9.4,,1011.5,,
2021-01-01,16,3.2,-2.1,68,0.0,,30,11.2,,1011.9,,
2021-01-01,17,3.0,-2.3,68,0.0,,20,9.4,,1012.2,,
2021-01-01,18,2.3,-2.4,71,0.0,,20,5.4,,1012.5,,
2021-01-01,19,2.3,-2.0,73,0.0,,10,9.4,,1012.8,,
2021-01-01,20,1.8,-2.0,76,0.0,,10,7.6,,1013.4,,
2021-01-01,21,1.9,-1.9,76,0.0,,340,5.4,,1013.9,,
2021-01-01,22,2.0,-1.8,76,0.0,,350,7.6,,1014.0,,
2021-01-01,23,2.0,-2.0,75,0.0,,20,5.4,,1014.2,,
2021-01-02,0,1.0,-2.1,80,0.0,,350,5.4,,1014.6,,
2021-01-02,1,0.7,-1.7,84,0.0,,350,5.4,,1014.6,,
2021-01-02,2,0.8,-1.6,84,0.0,,280,5.4,,1014.8,,
2021-01-02,3,0.5,-1.7,85,0.0,,290,7.6,,1015.0,,
2021-01-02,4,0.3,-1.8,86,0.0,,300,5.4,,1014.8,,
