date,hour,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-01-01,0,0.8,-0.1,94,,,170,5.4,,1032.5,,
2020-01-01,1,-0.7,-1.3,96,0.0,,200,9.4,,1032.2,,
2020-01-01,2,-0.3,-0.6,98,0.0,,190,7.6,,1032.2,,
2020-01-01,3,0.0,-0.3,98,,,220,5.4,,1031.9,,
2020-01-01,4,0.3,0.0,98,0.0,,210,7.6,,1031.6,,
2020-01-01,5,0.5,0.2,98,0.0,,170,3.6,,1031.9,,
2020-01-01,6,0.7,0.4,98,,,160,5.4,,1031.9,,
2020-01-01,7,0.8,0.5,98,0.0,,170,11.2,,1031.9,,
2020-01-01,8,1.0,0.7,98,0.0,,160,11.2,,1032.2,,
2020-01-01,9,1.4,1.3,99,,,160,11.2,,1032.5,,
2020-01-01,10,2.0,1.9,99,0.0,,170,7.6,,1032.6,,
2020-01-01,11,2.8,2.5,98,0.0,,170,5.4,,1032.5,,
2020-01-01,12,3.0,2.7,98,,,140,5.4,,1031.7,,
2020-01-01,13,3.4,3.3,99,0.0,,160,7.6,,1030.9,,
2020-01-01,14,3.7,3.4,98,0.0,,160,7.6,,1030.6,,
2020-01-01,15,4.0,3.7,98,,,140,7.6,,1030.5,,
2020-01-01,16,4.1,3.8,98,,,140,7.6,,1030.6,,
2020-01-01,17,4.3,4.0,98,,,140,7.6,,1030.7,,
2020-01-01,18,4.5,4.2,98,,,140,7.6,,1030.6,,
2020-01-01,19,4.5,4.4,99,,,140,7.6,,1030.7,,
2020-01-01,20,4.6,4.3,98,,,160,7.6,,1030.2,,
2020-01-01,21,4.5,4.2,98,,,160,9.4,,1029.9,,
2020-01-01,22,4.4,4.1,98,,,160,11.2,,1029.8,,
2020-01-01,23,4.4,4.1,98,0.0,,150,7.6,,1029.4,,
2020-01-02,0,4.4,4.3,99,,,150,7.6,,1028.7,,
2020-01-02,1,4.5,4.2,98,0.4,,140,7.6,,1028.2,,
2020-01-02,2,4.6,4.5,99,0.2,,120,7.6,,1028.0,,
2020-01-02,3,4.8,4.7,99,,,140,5.4,,1027.7,,
2020-01-02,4,5.1,5.0,99,0.0,,130,5.4,,1027.2,,
2020-01-02,5,5.3,5.2,99,0.4,,130,5.4,,1027.0,,
2020-01-02,6,5.6,5.5,99,,,150,5.4,,1026.9,,
2020-01-02,7,6.1,6.0,99,,,200,3.6,,1027.1,,
2020-01-02,8,6.4,6.3,99,,,200,3.6,,1027.1,,
2020-01-02,9,6.8,6.7,99,,,200,5.4,,1027.1,,
2020-01-02,10,7.5,7.4,99,0.0,,210,11.2,,1027.4,,
2020-01-02,11,8.3,7.9,97,0.0,,210,9.4,,1027.0,,
2020-01-02,12,8.5,8.1,97,,,220,9.4,,1026.5,,
2020-01-02,13,9.0,8.5,97,,,220,7.6,,1025.7,,
2020-01-02,14,9.0,7.8,92,0.0,,220,11.2,,1025.1,,
2020-01-02,15,8.8,7.6,92,,,200,9.4,,1024.8,,
2020-01-02,16,8.6,7.4,92,0.0,,210,11.2,,1025.0,,
2020-01-02,17,8.8,7.7,93,0.0,,200,7.6,,1025.1,,
2020-01-02,18,8.9,7.7,92,,,210,11.2,,1024.8,,
2020-01-02,19,9.0,7.8,92,0.0,,200,9.4,,1024.6,,
